Accession	Lineage
ERS181289	lineage2
SRS494377	lineage1
SRS494388	lineage4
ERS181300	lineage2
ERS181373	lineage2
ERS181326	lineage2
ERS181580	lineage2
ERS053727	lineage4
ERS181370	lineage2
ERS053725	lineage2
ERS053724	lineage4
ERS053723	lineage2
ERS053722	lineage2
ERS053721	lineage2
ERS053720	lineage4
SRS494398	lineage4
ERS181372	lineage2
ERS053680	lineage2
ERS053681	lineage2
ERS053682	lineage2
ERS053683	lineage2
ERS053684	lineage4
ERS053685	lineage4
ERS053686	lineage2
ERS053687	lineage2
ERS053688	lineage4
ERS053689	lineage2
ERS181375	lineage2
ERS181521	lineage4
ERS181520	lineage2
ERS181522	lineage4
ERS181525	lineage2
ERS181376	lineage2
ERS181527	lineage2
ERS181526	lineage2
ERS181529	lineage2
ERS181528	lineage4
SRS415192	lineage2
ERS181377	lineage2
SRS415194	lineage4
SRS415195	lineage4
SRS415196	lineage1
ERS181302	lineage4
ERS096431	lineage2
ERS181564	lineage2
ERS181462	lineage2
SRS415201	lineage4
ERS096510	lineage2
ERS181305	lineage2
ERS096435	lineage2
ERS096449	lineage2
ERS096448	lineage2
SRS415203	lineage2
ERS181277	lineage4
ERS124796	lineage2
ERS096441	lineage2
ERS096440	lineage4
ERS096442	lineage2
ERS096445	lineage2
ERS096444	lineage4
ERS096447	lineage2
ERS096446	lineage2
ERS124794	lineage2
SRS415238	lineage4
ERS181304	lineage4
SRS415251	lineage2
